common_name	iupac_name	formula	charge	v0_cm3_per_mol	uncertainty_cm3_per_mol	basis	doi
diethoxymethane	diethoxymethane	C5H12O2	0	113.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
tetramethoxymethane	tetramethoxymethane	C5H12O4	0	126.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,2-dimethoxyethane	1,2-dimethoxyethane	C4H10O2	0	95.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,2-diethoxyethane	1,2-diethoxyethane	C6H14O2	0	127.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
diglyme	1-methoxy-2-(2-methoxyethoxy)ethane	C6H14O3	0	132.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
bis(2-ethoxyethyl) ether	1-ethoxy-2-(2-ethoxyethoxy)ethane	C8H18O3	0	165.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
tetraglyme precursor	2,5,8,11-tetraoxadodecane	C8H18O4	0	169.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
pentaglyme precursor	2,5,8,11,14-pentaoxapentadecane	C10H22O5	0	206.8		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
acetaldehyde	ethanal	C2H4O	0	43.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
benzaldehyde	benzaldehyde	C7H6O	0	96.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
3-hydroxybenzaldehyde	3-hydroxybenzaldehyde	C7H6O2	0	97.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
4-hydroxybenzaldehyde	4-hydroxybenzaldehyde	C7H6O2	0	96.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
acetone	propan-2-one	C3H6O	0	66.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-butanone	butan-2-one	C4H8O	0	82.5		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-pentanone	pentan-2-one	C5H10O	0	98.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2,5-hexanedione	hexane-2,5-dione	C6H10O2	0	111.6		measured	10.1007/BF00646936
cyclobutanone	cyclobutan-1-one	C4H6O	0	70.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclohexanone	cyclohexan-1-one	C6H10O	0	99.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclooctanone	cyclooctan-1-one	C8H14O	0	128.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclononanone	cyclononan-1-one	C9H16O	0	142.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,4-cyclohexanedione	cyclohexane-1,4-dione	C6H8O2	0	92.8		measured	10.1007/BF00646936
2-adamantanone	adamantan-2-one	C10H14O	0	137.2		measured	10.1007/BF00646936
formic acid	formic acid	CH2O2	0	34.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
acetic acid	acetic acid	C2H4O2	0	51.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
propanoic acid	propanoic acid	C3H6O2	0	67.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
butanoic acid	butanoic acid	C4H8O2	0	84.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
hexanoic acid	hexanoic acid	C6H12O2	0	116.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
glycolic acid	2-hydroxyacetic acid	C2H4O3	0	51.8		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
lactic acid	2-hydroxypropanoic acid	C3H6O3	0	69.4		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-hydroxybutanoic acid	2-hydroxybutanoic acid	C4H8O3	0	85.5		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-hydroxyhexanoic acid	2-hydroxyhexanoic acid	C6H12O3	0	117.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
oxalic acid	ethanedioic acid	C2H2O4	0	49.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
malonic acid	propanedioic acid	C3H4O4	0	67.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
succinic acid	butanedioic acid	C4H6O4	0	82.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
adipic acid	hexanedioic acid	C6H10O4	0	115.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
tartaric acid	2,3-dihydroxybutanedioic acid	C4H6O6	0	84.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
ethyl formate	ethyl formate	C3H6O2	0	72.8		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
